team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
MIN,35,28,27,31,0,0,121, IND,17,44,29,25,0,0,115, MIN, IND, IND, MIN, MIN, home,  December 7,2022
DET,28,15,30,25,0,0,98, NOP,27,29,23,25,0,0,104, DET, NOP, DET, NOP, NOP, away,  December 7,2022
NOP,27,29,23,25,0,0,104, DET,28,15,30,25,0,0,98, DET, NOP, DET, NOP, NOP, home,  December 7,2022
GSW,35,34,22,32,0,0,123, UTA,30,36,34,24,0,0,124, GSW, UTA, UTA, GSW, UTA, away,  December 7,2022
UTA,30,36,34,24,0,0,124, GSW,35,34,22,32,0,0,123, GSW, UTA, UTA, GSW, UTA, home,  December 7,2022
BOS,31,38,35,21,0,0,125, PHO,21,21,23,33,0,0,98, BOS, BOS, BOS, PHO, BOS, away,  December 7,2022
PHO,21,21,23,33,0,0,98, BOS,31,38,35,21,0,0,125, BOS, BOS, BOS, PHO, BOS, home,  December 7,2022
LAC,28,26,33,23,0,0,110, MIA,20,36,28,31,0,0,115, LAC, MIA, LAC, MIA, MIA, away,  December 8,2022
MIA,20,36,28,31,0,0,115, LAC,28,26,33,23,0,0,110, LAC, MIA, LAC, MIA, MIA, home,  December 8,2022
HOU,29,25,23,32,0,0,109, SAS,24,27,39,28,0,0,118, HOU, SAS, SAS, HOU, SAS, away,  December 8,2022
SAS,24,27,39,28,0,0,118, HOU,29,25,23,32,0,0,109, HOU, SAS, SAS, HOU, SAS, home,  December 8,2022
DEN,30,33,26,32,0,0,121, POR,36,28,35,21,0,0,120, POR, DEN, POR, DEN, DEN, away,  December 8,2022
POR,36,28,35,21,0,0,120, DEN,30,33,26,32,0,0,121, POR, DEN, POR, DEN, DEN, home,  December 8,2022
NYK,22,33,34,32,0,0,121, CHO,20,29,22,31,0,0,102, NYK, NYK, NYK, NYK, NYK, away,  December 9,2022
CHO,20,29,22,31,0,0,102, NYK,22,33,34,32,0,0,121, NYK, NYK, NYK, NYK, NYK, home,  December 9,2022
WAS,33,32,24,22,0,0,111, IND,31,38,26,26,0,0,121, WAS, IND, IND, IND, IND, away,  December 9,2022
